"feed_tables","DM %","CP %","CF %","CFat %","Ash %","Insol. ash %","NDF %","ADF %","Lignin %","WICW %","Starch %","Starch (enz.) %","Sugars %","Lactose %","GE kcal/kg","GE MJ/kg"
"Faba_bean,_coloured_flowers",100,29.5,9,1.5,3.8,0.1,15.5,11.2,0.9,18.4,44.2,39.6,3.4,NA,4480,18.7
"Faba_bean,_coloured_flowers,_extruded",100,29.5,9,1.5,3.8,0.1,15.5,11.2,0.9,18.4,44.2,39.6,3.4,NA,4480,18.7
"Faba_bean,_white_flowers",100,31.1,8.6,1.2,4,0.1,15,10.3,0.8,17.5,43.1,35.1,4.1,NA,4470,18.7
"Feather_meal",100,85.7,1.4,9.2,5.6,0.3,7.3,5.5,0,6.4,0,0,0.3,NA,5640,23.6
"Ferric_chloride",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ferric_citrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ferric_phosphate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ferric_polyphosphate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ferric_pyrophosphate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ferric_sodium_pyrophosphate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ferrous_carbonate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ferrous_chloride",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ferrous_sulfate_monohydrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ferrous_sulphate_heptahydrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Fish_meal,_protein_62%",100,67.8,0,10.3,19.3,0.6,5.8,0.7,0.2,4.9,0,0,0,NA,4820,20.2
"Fish_meal,_protein_65%",100,70.7,0,10,18.2,0.5,5.8,0.5,0.2,4.9,0,0,0,NA,4890,20.5
"Fish_meal,_protein_70%",100,74.8,0,9.8,15.2,0.5,5.8,0.3,0.2,4.9,0,0,0,NA,5080,21.3
"Fish_oil,_anchovy",100,0,0,100,0,0,0,0,0,0,0,0,0,NA,9380,39.3
"Fish_oil,_capelin",100,0,0,100,0,0,0,0,0,0,0,0,0,NA,9380,39.3
"Fish_oil,_herring",100,0,0,100,0,0,0,0,0,0,0,0,0,NA,9380,39.3
"Fish_oil,_menhaden",100,0,0,100,0,0,0,0,0,0,0,0,0,NA,9380,39.3
"Fish_oil,_rockfish",100,0,0,100,0,0,0,0,0,0,0,0,0,NA,9380,39.3
"Fish_oil,_salmon",100,0,0,100,0,0,0,0,0,0,0,0,0,NA,9380,39.3
"Fish_oil,_sardine",100,0,0,100,0,0,0,0,0,0,0,0,0,NA,9380,39.3
"Fish_solubles,_condensed,_defatted",100,84.4,0.1,11,7.3,0.2,0,0,0,0,0,0,0,NA,5630,23.6
"Fish_solubles,_condensed,_fat",100,78,0,21.8,6.7,0.2,0,0,0,0,0,0,0,NA,6130,25.7
"Fodder_beet,_raw",100,7.9,6,0.5,10.6,4,16,9.5,0.9,15.1,0,0,65.8,NA,3870,16.2
"Grape_pomace,_dried",100,13.6,24.7,6,7.4,1.5,60.8,52.6,33.7,59.9,1.1,0.9,2.2,NA,4550,19.1
"Grape_pulp,_dried",100,13.4,20.7,5.4,8.3,1.7,51.4,43.6,28.3,50.6,1.1,0.9,10.3,NA,4440,18.6
"Grape_seeds",100,10,42.4,12.7,3.3,1.2,69.5,59.1,44.2,68.7,2.1,0.09,1.2,NA,5190,21.7
"Grapeseed_oil_meal",100,11.7,48.6,1.6,4,1.2,73.6,64.9,45.4,86.1,2.5,0.09,0.7,NA,4670,19.5
"Grass,_dehydrated",100,16.2,26,3.4,8.6,2.2,54.2,30.7,3.7,53.4,1.2,2.1,10.1,NA,4460,18.7
