"CODE_PRODUIT","LIBELLE_PRODUIT","SIQO_FILIERE","RICA_var","RICA_var_libelle","RICA_var_code","RICA_var_code_libelle","species","production_type"
"LA3190","VIANDE ET ABATS FRAIS ET SURGELES D AGNEAU DE PLUS DE 14 KG DE CARCASSE NOURRI PAR TETEE AU PIS AU MOINS 60 JOURS","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"sheep","meat"
"LA0707","VIANDE ET ABATS FRAIS ET SURGELES D AGNEAU DE 13 A 22 KG DE CARCASSE NOURRI PAR TETEE AU PIS AU MOINS 70 JOURS OU JUSQU A ABATTAGE SI ABATTU ENTRE 60 ET 69 JOURS","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"sheep","meat"
"LA0507","VIANDE ET ABATS FRAIS ET SURGELEES D AGNEAU DE 14 A 22 KG DE CARCASSE NOURRI PAR TETEE AU PIS AU MOINS 90 JOURS OU JUSQU A ABATTAGE SI ABATTU ENTRE 70 ET 89 JOURS","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"sheep","meat"
"LA1204","VIANDE ET ABATS FRAIS DE PORC","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"swine","meat"
"LA1891","VIANDE ET ABATS FRAIS DE GROS BOVINS DE BOUCHERIE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA2388","VIANDE BOVINE D ANIMAUX JEUNES DE RACE LIMOUSINE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA0389","VIANDE ABATS ET VIANDE HACHEE FRAIS ET SURGELES DE GROS BOVINS DE RACE CHAROLAISE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA0415","VIANDE ABATS ET GRAS DE COCHE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"swine","meat"
"A1170","VEZELAY","AOC, VINS",NA,NA,NA,NA,NA,NA
"A278","VENTOUX","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"LA0893","VEAU FERMIER LOURD ELEVE SOUS LA MERE ET COMPLEMENTE AUX CEREALES","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"A518","VEAU DU LIMOUSIN","IGP, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"A517","VEAU D AVEYRON ET DU SEGALA","IGP, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"A975","VAUCLUSE","IGP, VINS",NA,NA,NA,NA,NA,NA
"A969","VAR","IGP, VINS",NA,NA,NA,NA,NA,NA
"A1025","VALLEE DU TORGAN","IGP, VINS",NA,NA,NA,NA,NA,NA
"A991","VALLEE DU PARADIS","IGP, VINS",NA,NA,NA,NA,NA,NA
"A443","VALENCAY","AOP & AOC, FROMAGE","CODE7","Produits animaux","22","Fromage, crème, beurre de vache","goats","milk"
"A564","VALENCAY","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A865","VAL DE LOIRE","IGP, VINS",NA,NA,NA,NA,NA,NA
"A288","VACQUEYRAS","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A935","URFE","IGP, VINS",NA,NA,NA,NA,NA,NA
"A1020","TURSAN","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A123","TOURAINE NOBLE JOUE","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A113","TOURAINE","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A516","TOMME DES PYRENEES","IGP, FROMAGE","CODE7","Produits animaux","22","Fromage, crème, beurre de vache","cattle;sheep;goat","milk"
"A515","TOMME DE SAVOIE","IGP, FROMAGE","CODE7","Produits animaux","22","Fromage, crème, beurre de vache","cattle","milk"
"A476","TOME DES BAUGES","AOP & AOC, FROMAGE","CODE7","Produits animaux","22","Fromage, crème, beurre de vache","cattle","milk"
"A1156","THYM DE PROVENCE","IGP, CONDIMENTS ASSAISONNEMENTS HERBES ET PIMENTS",NA,NA,NA,NA,NA,NA
"A942","THEZACPERRICARD","IGP, VINS",NA,NA,NA,NA,NA,NA
"A1042","TERRASSES DU LARZAC","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A287","TAVEL","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A456","TAUREAU DE CAMARGUE","AOP & AOC, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"A1046","SOUMAINTRAIN","IGP, FROMAGE","CODE7","Produits animaux","22","Fromage, crème, beurre de vache","cattle","milk"
"A436","SELLESSURCHER","AOP & AOC, FROMAGE","CODE7","Produits animaux","22","Fromage, crème, beurre de vache","goats","milk"
